description,alternatives,year,subject,ground_truth,index_question
"Questão 4) A Minor Bird I have wished a bird would fly away, And not sing by my house all day; Have clapped my hands at him from the door When it seemed as if I could bear no more.
The fault must partly have been in me.
The bird was not to blame for his key.
And of course there must be something wrong In wanting to silence any song.
FROST, R. West-running Brook. New York: Henry Holt and Company, 1928.
No poema de Robert Frost, as palavras “fault” e “blame” revelam por parte do eu lírico uma","['A) culpa por não poder cuidar do pássaro.', 'B) atitude errada por querer matar o pássaro.', 'C) necessidade de entender o silêncio do pássaro.', 'D) sensibilização com relação à natureza do pássaro.', 'E) irritação quanto à persistência do canto do pássaro.']",2020,"Linguagens, códigos e suas tecnologias",D,4
"Questão 5) Finally, Aisha finished with her customer and asked what colour Ifemelu wanted for her hair attachments.
“Colour four.” “Not good colour,” Aisha said promptly.
“That’s what I use.” “It look dirty. You don’t want colour one?” “Colour one is too black, it looks fake,” Ifemelu said, loosening her headwrap. “Sometimes I use colour two, but colour four is closest to my natural colour.” [...] She touched Ifemelu’s hair. “Why you don’t have relaxer?” “I like my hair the way God made it.” “But how you comb it? Hard to comb,” Aisha said.
Ifemelu had brought her own comb. She gently combed her hair, dense, soft and tightly coiled, until it framed her head like a halo. “It’s not hard to comb if you moisturize it properly,” she said, slipping into the coaxing tone of the proselytizer that she used whenever she was trying to convince other black women about the merits of wearing their hair natural. Aisha snorted; she clearly could not understand why anybody would choose to suffer through combing natural hair, instead of simply relaxing it. She sectioned out Ifemelu’s hair, plucked a little attachment from the pile on the table and began deftly to twist.
ADICHIE, C. Americanah: A novel. New York: Anchor Books, 2013.
A passagem do romance da escritora nigeriana traz um diálogo entre duas mulheres negras: a cabeleireira, Aisha, e a cliente, Ifemelu. O posicionamento da cliente é sustentado por argumentos que","['A) reforçam um padrão de beleza.', 'B) retratam um conflito de gerações.', 'C) revelam uma atitude de resistência.', 'D) demonstram uma postura de imaturidade.', 'E) evidenciam uma mudança de comportamento.']",2020,"Linguagens, códigos e suas tecnologias",C,5
"Questão 01) Pablo Pueblo Regresa un hombre en silencio De su trabajo cansado Su paso no lleva prisa Su sombra nunca lo alcanza Lo espera el barrio de siempre Con el farol en la esquina Con la basura allá en frente Y el ruido de la cantina Pablo Pueblo llega hasta el zaguán oscuro Y vuelve a ver las paredes Con las viejas papeletas Que prometían futuros en lides politiqueras Y en su cara se dibuja la decepción de la espera.
Rubén Blades é um compositor panamenho de canções socialmente engajadas. O título Pablo Pueblo, associado ao conteúdo da letra da canção, revela uma crítica social ao","['A) contrapor a individualidade de um sujeito a uma estrutura social marcada pela decepção na atuação política.', 'B) demonstrar que o problema sofrido pelo indivíduo atinge toda a comunidade.', 'C) relativizar a importância que se dá ao sofrimento individual em uma estrutura social baseada na exploração.', 'D) descrever a vida de um sujeito que nunca resolve suas inquietações e, por isso, mantém-se silencioso.', 'E) usar um apelido jocoso para designar a atuação de um indivíduo em seu próprio bairro.']",2020,"Linguagens, códigos e suas tecnologias",A,6
"Questão 4) Oye, Pito, ésta es: la vida bruta de un boy mis tierras eran nuevo méxico, colorado, california, arizona, tejas, y muchos otros senderos, aún cuando la luz existía sonrientemente en las palabras de mis antepasados...
era entonces hombre, maduro y sencillo como los cerros y los peñascos, y mi cultura era el atole, el chaquehue, y los buenos días; mi idioma cantaba versículos por los cañones de tierra roja y tierra amarilla...
Hoy sí, hoy ya no soy mejicano ni hispano ni tampoco americano, pero soy — y bien lo siento ser — una sombra del pasado y un esfuerzo hacia el futuro...
Ao abordar a expropriação de territórios mexicanos pelos Estados Unidos, o eu lírico do poema revela um(a)","['A) rejeição da língua utilizada por seus antepassados.', 'B) desejo de pertencimento ao espaço estadunidense.', 'C) certeza de manutenção de suas tradições.', 'D) reivindicação de um mundo unificado.', 'E) sentimento de conflito de identidades.']",2020,"Linguagens, códigos e suas tecnologias",E,9
"Questão 5) Poco después apareció en casa de Elisenda Morales, arrastrando su cansancio y las contrariedades de un largo día que había dejado su ánimo en ruinas. A pesar de todo, supo resistirlo, y cuando ella le ofreció una copa de mistela, abandonó su asiento para ir hasta la tienda en busca de algo más estimulante.
Allí, en el corredor de la casa, en taburetes separados, recibieron los primeros cálidos soplos de la noche. Con su habitual entereza, Elisenda entró a conectar la luz de la sala, sofocando parte de su reflejo, mientras comentaba que así estarían mejor. Al menos, pensó el tío Camarillo, no había sacado la lámpara como otras veces, ni le había entregado alguno de sus álbumes, y parecía en cambio decidida a mantener en ascuas al vecindario. Aquélla fue la primera vez que en mucho tiempo dejaron de lado el tema de las rentas, para entrar con pies de plomo en el espinoso terreno de las confidencias. SÁNCHEZ, H. El héroe de la família. Bogotá: Tercer Mundo, 1988.
No texto, no qual é narrada a visita à casa de uma personagem, a expressão “entrar con pies de plomo” é utilizada para se referir ao(à)","['A) determinação para conduzir discussões pessoais.', 'B) insensibilidade para lidar com temas do passado.', 'C) discrição para administrar questões financeiras.', 'D) disposição para resolver problemas familiares.', 'E) cuidado para tratar de assuntos íntimos.']",2020,"Linguagens, códigos e suas tecnologias",E,10
"Questão 7) A frase, título do filme, reproduz uma variedade linguística recorrente na fala de muitos brasileiros. Essa estrutura caracteriza-se pelo(a)","['A) uso de uma marcação temporal.', 'B) imprecisão do referente de pessoa.', 'C) organização interrogativa da frase.', 'D) utilização de um verbo de ação.', 'E) apagamento de uma preposição.']",2020,"Linguagens, códigos e suas tecnologias",E,12
"Questão 9) É possível afirmar que muitas expressões idiomáticas transmitidas pela cultura regional possuem autores anônimos, no entanto, algumas delas surgiram em consequência de contextos históricos bem curiosos. “Aquele é um cabra da peste” é um bom exemplo dessas construções.
Para compreender essa expressão tão repetida no Nordeste brasileiro, faz-se necessário voltar o olhar para o século 16. “Cabra” remete à forma com que os navegadores portugueses chamavam os índios. Já “peste” estaria ligada à questão da superação e resistência, ou mesmo uma associação com o diabo. Assim, com o passar dos anos, passou-se a utilizar tal expressão para denominar qualquer indivíduo que se mostre corajoso, ou mesmo insolente, já que a expressão pode ter caráter positivo ou negativo. Aliás, quem já não ficou de “nhe-nhe-nhém” por aí? O termo, que normalmente tem significado de conversa interminável, monótona ou resmungo, tem origem no tupi-guarani e “nhém” significa “falar”.
A leitura do texto permite ao leitor entrar em contato com","['A) registros do inventário do português brasileiro.', 'B) justificativas da variedade linguística do país.', 'C) influências da fala do nordestino no uso da língua.', 'D) explorações do falar de um grupo social específico.', 'E) representações da mudança linguística do português.']",2020,"Linguagens, códigos e suas tecnologias",A,14
"Questão 10) O ouro do século 21 Cério, gadolínio, lutécio, promécio e érbio; sumário, térbio e disprósio; hólmio, túlio e itérbio. Essa lista de nomes esquisitos e pouco conhecidos pode parecer a escalação de um time de futebol, que ainda teria no banco de reservas lantânio, neodímio, praseodímio, európio, escândio e ítrio. Mas esses 17 metais, chamados de terras-raras, fazem parte da vida de quase todos os humanos do planeta. Chamados por muitos de “ouro do século 21”, “elementos do futuro” ou “vitaminas da indústria”, eles estão nos materiais usados na fabricação de lâmpadas, telas de computadores, tablets e celulares, motores de carros elétricos, baterias e até turbinas eólicas. Apesar de tantas aplicações, o Brasil, dono da segunda maior reserva do mundo desses metais, parou de extraí-los e usá-los em 2002. Agora, volta a pensar em retomar sua exploração.
As aspas sinalizam expressões metafóricas empregadas intencionalmente pelo autor do texto para","['A) imprimir um tom irônico à reportagem.', 'B) incorporar citações de especialistas à reportagem.', 'C) atribuir maior valor aos metais, objeto da reportagem.', 'D) esclarecer termos científicos empregados na reportagem.', 'E) marcar a apropriação de termos de outra ciência pela reportagem.']",2020,"Linguagens, códigos e suas tecnologias",C,15
"Questão 13) Deu vontade de jogar, mas não sabe como reunir os amigos...
Muitas vezes é difícil encontrar grupos para bater uma bola. Em função disso, estão sendo disponibilizados aplicativos que reúnem times e reservam espaços para os adeptos da paixão nacional. Num exemplo dessas iniciativas, é possível organizar uma partida de futebol, se inscrever para participar de um jogo, alugar campos e quadras, convidar jogadores. O aplicativo tem dois tipos de usuários: um que o usa como ferramenta de gestão do grupo, convidando amigos para jogar, vendo quem confirmou e avaliando os jogos. Outro usuário é o que busca partidas perto de onde ele está, caso de pessoas que estão de passagem numa cidade.
BENEDICTO, M.; MARLI, M. Bola na rede. Retratos: A inter-relação entre tecnologia e sociedade tem estimulado a criação de aplicativos. Nesse texto, isso é percebido pelo desenvolvimento de aplicativos para","['A) organização de eventos de competições esportivas.', 'B) agendamento de viagens para eventos de esporte amador.', 'C) mapeamento dos interesses dos praticantes acerca dos esportes.', 'D) identificação da escassez de espaços para a vivência dos esportes.', 'E) formação de grupos em comunidades virtuais para a prática esportiva.']",2020,"Linguagens, códigos e suas tecnologias",E,18
"Questão 15) O suor para estar em competições nacionais e internacionais de alto nível é o mesmo para homens e mulheres, mas não raramente as remunerações são menores para elas. Se no tênis, um dos esportes mais equânimes em termos de gênero, todos os principais torneios oferecem prêmios idênticos nas disputas femininas e masculinas, no futebol a desigualdade atinge seu ápice. Neymar e Marta são dois expoentes dessa paixão nacional. Ela já foi eleita cinco vezes a melhor jogadora do mundo pela Fifa. Ele conquistou o terceiro lugar na última votação para melhor do mundo. Mas é na conta bancária que a diferença entre os dois se sobressai.
O esporte é uma manifestação cultural na qual se estabelecem relações sociais. Considerando o texto, o futebol é uma modalidade que","['A) apresenta proximidades com o tênis, no que tange às relações de gênero entre homens e mulheres.', 'B) se caracteriza por uma identidade masculina no Brasil, conferindo maior remuneração aos jogadores.', 'C) traz remunerações, aos jogadores e jogadoras, proporcionais aos seus esforços no treinamento esportivo.', 'D) resulta em melhor eficiência para as mulheres e, consequentemente, em remuneração mais alta às jogadoras.', 'E) possui jogadores e jogadoras com a mesma visibilidade, apesar de haver expoentes femininas de destaque, como Marta.']",2020,"Linguagens, códigos e suas tecnologias",B,20
