,description,alternatives,year,subject,ground_truth,index_question,text_concat_english,text_concat_portuguese
0,"Questão 4) A Minor Bird I have wished a bird would fly away, And not sing by my house all day; Have clapped my hands at him from the door When it seemed as if I could bear no more.
The fault must partly have been in me.
The bird was not to blame for his key.
And of course there must be something wrong In wanting to silence any song.
FROST, R. West-running Brook. New York: Henry Holt and Company, 1928.
No poema de Robert Frost, as palavras “fault” e “blame” revelam por parte do eu lírico uma","['A) culpa por não poder cuidar do pássaro.', 'B) atitude errada por querer matar o pássaro.', 'C) necessidade de entender o silêncio do pássaro.', 'D) sensibilização com relação à natureza do pássaro.', 'E) irritação quanto à persistência do canto do pássaro.']",2020,"Linguagens, códigos e suas tecnologias",D,4,"Question 4) Minor Bird I Have Wished a Bird Would Fly Away, and Not Sing by My House All Day; Have clapped my hands at him from the door when it Seemed as if i could bear in the more.
The Fault Must Partly Have Been In Me.
The Bird was not to Blame for His Key.
And of Course There Must Be Something Wrong in Wanting to Silence Any Song.
FROST, R. West-Running Brook. New York: Henry Holt and Company, 1928.
In Robert Frost's poem, the words “Fault” and “Blame” reveal from the lyrical self a
A) Guilt for not being able to take care of the bird.
B) Wrong attitude for wanting to kill the bird.
C) Need to understand the silence of the bird.
D) sensitization regarding the nature of the bird.
E) irritation as to the persistence of the bird corner.","Questão 4) A Minor Bird I have wished a bird would fly away, And not sing by my house all day; Have clapped my hands at him from the door When it seemed as if I could bear no more.
The fault must partly have been in me.
The bird was not to blame for his key.
And of course there must be something wrong In wanting to silence any song.
FROST, R. West-running Brook. New York: Henry Holt and Company, 1928.
No poema de Robert Frost, as palavras “fault” e “blame” revelam por parte do eu lírico uma
A) culpa por não poder cuidar do pássaro.
B) atitude errada por querer matar o pássaro.
C) necessidade de entender o silêncio do pássaro.
D) sensibilização com relação à natureza do pássaro.
E) irritação quanto à persistência do canto do pássaro."
1,"Questão 5) Finally, Aisha finished with her customer and asked what colour Ifemelu wanted for her hair attachments.
“Colour four.” “Not good colour,” Aisha said promptly.
“That’s what I use.” “It look dirty. You don’t want colour one?” “Colour one is too black, it looks fake,” Ifemelu said, loosening her headwrap. “Sometimes I use colour two, but colour four is closest to my natural colour.” [...] She touched Ifemelu’s hair. “Why you don’t have relaxer?” “I like my hair the way God made it.” “But how you comb it? Hard to comb,” Aisha said.
Ifemelu had brought her own comb. She gently combed her hair, dense, soft and tightly coiled, until it framed her head like a halo. “It’s not hard to comb if you moisturize it properly,” she said, slipping into the coaxing tone of the proselytizer that she used whenever she was trying to convince other black women about the merits of wearing their hair natural. Aisha snorted; she clearly could not understand why anybody would choose to suffer through combing natural hair, instead of simply relaxing it. She sectioned out Ifemelu’s hair, plucked a little attachment from the pile on the table and began deftly to twist.
ADICHIE, C. Americanah: A novel. New York: Anchor Books, 2013.
A passagem do romance da escritora nigeriana traz um diálogo entre duas mulheres negras: a cabeleireira, Aisha, e a cliente, Ifemelu. O posicionamento da cliente é sustentado por argumentos que","['A) reforçam um padrão de beleza.', 'B) retratam um conflito de gerações.', 'C) revelam uma atitude de resistência.', 'D) demonstram uma postura de imaturidade.', 'E) evidenciam uma mudança de comportamento.']",2020,"Linguagens, códigos e suas tecnologias",C,5,"Question 5) Finally, Aisha Finished with Her Customer and Asked What Colour Ifemelu Wanted for Her Hair Attachments.
""Color Four."" “Not Good Colour,” Aisha Said Promptly.
""That's what I use."" “It looks dirty. You Don't Want Colour One? ” “Color One is too Black, it looks fake,” Ifemelu Said, loosening her headwrap. ""Sometimes I Use Color Two, But Color Four is Closest to My Natural Colour."" [...] She Touched Ifemelu’s Hair. ""Why you don't have relate?"" “I Like My Hair The Way God Made It.” “But How You Comb It? Hard to Comb, ”Aisha Said.
IFEMELU HAD BROUGHT HER OWN COMB. She Gently Combed Her Hair, Dense, Soft and Tightly Coiled, Until It Framed Her Head Like A Halo. “It's not hard to comb if you moisturize it properly,” She Said, Slipping Into the Coaxing Tone of the Proselytizer That She Used Whenever She Was Trying To Invince Oter Black Women About The Merits of Wearing Their Hair Natural. Aisha Snorted; She Clearly Could Not Understand Why Anybody Will Choose to Suffer Through Combing Natural Hair, Instead of Simply Relaxing It. She Sectioned Out Ifemelu’s Hair, Plucked a Little Attachment from the Pile On The Table and Began Deftly To Twist.
ADICHIE, C. AMERICANAH: The Novel. New York: Anchor Books, 2013.
The passage of the Nigerian writer's novel brings a dialogue between two black women: the hairdresser, Aisha, and the client Ifemelu. The client's positioning is supported by arguments that
A) reinforce a standard of beauty.
B) portray a conflict of generations.
C) reveal an attitude of resistance.
D) demonstrate an immaturity stance.
E) show a change in behavior.","Questão 5) Finally, Aisha finished with her customer and asked what colour Ifemelu wanted for her hair attachments.
“Colour four.” “Not good colour,” Aisha said promptly.
“That’s what I use.” “It look dirty. You don’t want colour one?” “Colour one is too black, it looks fake,” Ifemelu said, loosening her headwrap. “Sometimes I use colour two, but colour four is closest to my natural colour.” [...] She touched Ifemelu’s hair. “Why you don’t have relaxer?” “I like my hair the way God made it.” “But how you comb it? Hard to comb,” Aisha said.
Ifemelu had brought her own comb. She gently combed her hair, dense, soft and tightly coiled, until it framed her head like a halo. “It’s not hard to comb if you moisturize it properly,” she said, slipping into the coaxing tone of the proselytizer that she used whenever she was trying to convince other black women about the merits of wearing their hair natural. Aisha snorted; she clearly could not understand why anybody would choose to suffer through combing natural hair, instead of simply relaxing it. She sectioned out Ifemelu’s hair, plucked a little attachment from the pile on the table and began deftly to twist.
ADICHIE, C. Americanah: A novel. New York: Anchor Books, 2013.
A passagem do romance da escritora nigeriana traz um diálogo entre duas mulheres negras: a cabeleireira, Aisha, e a cliente, Ifemelu. O posicionamento da cliente é sustentado por argumentos que
A) reforçam um padrão de beleza.
B) retratam um conflito de gerações.
C) revelam uma atitude de resistência.
D) demonstram uma postura de imaturidade.
E) evidenciam uma mudança de comportamento."
2,"Questão 01) Pablo Pueblo Regresa un hombre en silencio De su trabajo cansado Su paso no lleva prisa Su sombra nunca lo alcanza Lo espera el barrio de siempre Con el farol en la esquina Con la basura allá en frente Y el ruido de la cantina Pablo Pueblo llega hasta el zaguán oscuro Y vuelve a ver las paredes Con las viejas papeletas Que prometían futuros en lides politiqueras Y en su cara se dibuja la decepción de la espera.
Rubén Blades é um compositor panamenho de canções socialmente engajadas. O título Pablo Pueblo, associado ao conteúdo da letra da canção, revela uma crítica social ao","['A) contrapor a individualidade de um sujeito a uma estrutura social marcada pela decepção na atuação política.', 'B) demonstrar que o problema sofrido pelo indivíduo atinge toda a comunidade.', 'C) relativizar a importância que se dá ao sofrimento individual em uma estrutura social baseada na exploração.', 'D) descrever a vida de um sujeito que nunca resolve suas inquietações e, por isso, mantém-se silencioso.', 'E) usar um apelido jocoso para designar a atuação de um indivíduo em seu próprio bairro.']",2020,"Linguagens, códigos e suas tecnologias",A,6,"Question 01) Pablo Pueblo returns a Hombre en silence of suar tired supi in the lleva prisa sudor never to reach her waiting el barrio of sigrepre con el Farol en la corner with casura allá en front y el maybe cantina pablo pueblo Llega hasta el zaguán oscuro y vuelve to see las walls with viejas papelets that promised future in lides politicians y en su guy if she dibuja la dispción de la waiting.
Rubén Blades is a Panamanian composer of socially engaged songs. The title Pablo Pueblo, associated with the content of the song lyrics, reveals a social critique of
A) Counter the individuality of a subject to a social structure marked by disappointment in political action.
B) Demonstrate that the problem suffered by the individual affects the entire community.
C) relativize the importance given to individual suffering in a social structure based on exploration.
D) Describe the life of a subject who never resolves his concerns and therefore remains quiet.
E) use a playful nickname to designate the performance of an individual in his own neighborhood.","Questão 01) Pablo Pueblo Regresa un hombre en silencio De su trabajo cansado Su paso no lleva prisa Su sombra nunca lo alcanza Lo espera el barrio de siempre Con el farol en la esquina Con la basura allá en frente Y el ruido de la cantina Pablo Pueblo llega hasta el zaguán oscuro Y vuelve a ver las paredes Con las viejas papeletas Que prometían futuros en lides politiqueras Y en su cara se dibuja la decepción de la espera.
Rubén Blades é um compositor panamenho de canções socialmente engajadas. O título Pablo Pueblo, associado ao conteúdo da letra da canção, revela uma crítica social ao
A) contrapor a individualidade de um sujeito a uma estrutura social marcada pela decepção na atuação política.
B) demonstrar que o problema sofrido pelo indivíduo atinge toda a comunidade.
C) relativizar a importância que se dá ao sofrimento individual em uma estrutura social baseada na exploração.
D) descrever a vida de um sujeito que nunca resolve suas inquietações e, por isso, mantém-se silencioso.
E) usar um apelido jocoso para designar a atuação de um indivíduo em seu próprio bairro."
3,"Questão 4) Oye, Pito, ésta es: la vida bruta de un boy mis tierras eran nuevo méxico, colorado, california, arizona, tejas, y muchos otros senderos, aún cuando la luz existía sonrientemente en las palabras de mis antepasados...
era entonces hombre, maduro y sencillo como los cerros y los peñascos, y mi cultura era el atole, el chaquehue, y los buenos días; mi idioma cantaba versículos por los cañones de tierra roja y tierra amarilla...
Hoy sí, hoy ya no soy mejicano ni hispano ni tampoco americano, pero soy — y bien lo siento ser — una sombra del pasado y un esfuerzo hacia el futuro...
Ao abordar a expropriação de territórios mexicanos pelos Estados Unidos, o eu lírico do poema revela um(a)","['A) rejeição da língua utilizada por seus antepassados.', 'B) desejo de pertencimento ao espaço estadunidense.', 'C) certeza de manutenção de suas tradições.', 'D) reivindicação de um mundo unificado.', 'E) sentimento de conflito de identidades.']",2020,"Linguagens, códigos e suas tecnologias",E,9,"Question 4) Oye, Pito, Estas Es: La Life of Un Boy Miss Een Nuevo Mexico, Colorado, California, Arizona, Tejas, Y Muchos Otros Senderos, Aún Cuando La Light there was sleepily in the exhibitions ...
It was hombre, ripe, mature y Sincillo as los cerros y los peñascos, y mi culture was El A tantole, el chaquehue, y los buenos dias; Mi Language Canges verses by Los Cañones de Tierra Roja y Tierra Amarilla ...
Hoy Si, Hoy Ya No Soy Mejican Ni Hispano Ni Tampoco American, Pero Soy - Y Bien Lo Sento Ser - UNA Shadow del Paddas y Un Smemzo Hacia El Futuro ...
By addressing the expropriation of Mexican territories by the United States, the lyrical self of the poem reveals a (a)
A) rejection of the language used by its ancestors.
B) desire to belong to the US space.
C) certainty of maintaining its traditions.
D) claim of a unified world.
E) Feeling of identity conflict.","Questão 4) Oye, Pito, ésta es: la vida bruta de un boy mis tierras eran nuevo méxico, colorado, california, arizona, tejas, y muchos otros senderos, aún cuando la luz existía sonrientemente en las palabras de mis antepasados...
era entonces hombre, maduro y sencillo como los cerros y los peñascos, y mi cultura era el atole, el chaquehue, y los buenos días; mi idioma cantaba versículos por los cañones de tierra roja y tierra amarilla...
Hoy sí, hoy ya no soy mejicano ni hispano ni tampoco americano, pero soy — y bien lo siento ser — una sombra del pasado y un esfuerzo hacia el futuro...
Ao abordar a expropriação de territórios mexicanos pelos Estados Unidos, o eu lírico do poema revela um(a)
A) rejeição da língua utilizada por seus antepassados.
B) desejo de pertencimento ao espaço estadunidense.
C) certeza de manutenção de suas tradições.
D) reivindicação de um mundo unificado.
E) sentimento de conflito de identidades."
4,"Questão 5) Poco después apareció en casa de Elisenda Morales, arrastrando su cansancio y las contrariedades de un largo día que había dejado su ánimo en ruinas. A pesar de todo, supo resistirlo, y cuando ella le ofreció una copa de mistela, abandonó su asiento para ir hasta la tienda en busca de algo más estimulante.
Allí, en el corredor de la casa, en taburetes separados, recibieron los primeros cálidos soplos de la noche. Con su habitual entereza, Elisenda entró a conectar la luz de la sala, sofocando parte de su reflejo, mientras comentaba que así estarían mejor. Al menos, pensó el tío Camarillo, no había sacado la lámpara como otras veces, ni le había entregado alguno de sus álbumes, y parecía en cambio decidida a mantener en ascuas al vecindario. Aquélla fue la primera vez que en mucho tiempo dejaron de lado el tema de las rentas, para entrar con pies de plomo en el espinoso terreno de las confidencias. SÁNCHEZ, H. El héroe de la família. Bogotá: Tercer Mundo, 1988.
No texto, no qual é narrada a visita à casa de uma personagem, a expressão “entrar con pies de plomo” é utilizada para se referir ao(à)","['A) determinação para conduzir discussões pessoais.', 'B) insensibilidade para lidar com temas do passado.', 'C) discrição para administrar questões financeiras.', 'D) disposição para resolver problemas familiares.', 'E) cuidado para tratar de assuntos íntimos.']",2020,"Linguagens, códigos e suas tecnologias",E,10,"Question 5) Poco Después Apareció en House of Elisenda Morales, dragging on su timancio y las setbacks of a wide dí that has been deducted in a ruine. To the weighing of all, I suppose resistant, y cuando ella le dereció one mysterla Cup, abandoned suesito to go hasta la tienda en seek something bad stimulating.
Allli, in the corridor de la casa, separated tabs, reciprocated los calid primers soplos de la noche. With usual understanding, Elisenda enters connecting La Luz de la sao, suffering part of su reflects, micentras comments that the mejor was. Al less, Pensó El Tiona Camarillo, in the habbi dragged La Lamrara as Otras Veces, Ni Le Había Delivered some albums, y Parecía en gear determined to keep in ascuas al Vecindario. That's that's first since it is a tiempo dejaron as side of the theme of las, to enter the plomo pies in the spinal land of confidences. Sánchez, H. El Héroe de la Familia. Bogota: Tercer Mundo, 1988.
In the text, in which the visit to a character's house is narrated, the expression “enter pies of plomo” is used to refer to the
A) Determination to conduct personal discussions.
B) insensitivity to deal with past themes.
C) Discretion to manage financial issues.
D) willingness to solve family problems.
E) Be careful to deal with intimate matters.","Questão 5) Poco después apareció en casa de Elisenda Morales, arrastrando su cansancio y las contrariedades de un largo día que había dejado su ánimo en ruinas. A pesar de todo, supo resistirlo, y cuando ella le ofreció una copa de mistela, abandonó su asiento para ir hasta la tienda en busca de algo más estimulante.
Allí, en el corredor de la casa, en taburetes separados, recibieron los primeros cálidos soplos de la noche. Con su habitual entereza, Elisenda entró a conectar la luz de la sala, sofocando parte de su reflejo, mientras comentaba que así estarían mejor. Al menos, pensó el tío Camarillo, no había sacado la lámpara como otras veces, ni le había entregado alguno de sus álbumes, y parecía en cambio decidida a mantener en ascuas al vecindario. Aquélla fue la primera vez que en mucho tiempo dejaron de lado el tema de las rentas, para entrar con pies de plomo en el espinoso terreno de las confidencias. SÁNCHEZ, H. El héroe de la família. Bogotá: Tercer Mundo, 1988.
No texto, no qual é narrada a visita à casa de uma personagem, a expressão “entrar con pies de plomo” é utilizada para se referir ao(à)
A) determinação para conduzir discussões pessoais.
B) insensibilidade para lidar com temas do passado.
C) discrição para administrar questões financeiras.
D) disposição para resolver problemas familiares.
E) cuidado para tratar de assuntos íntimos."
5,"Questão 7) A frase, título do filme, reproduz uma variedade linguística recorrente na fala de muitos brasileiros. Essa estrutura caracteriza-se pelo(a)","['A) uso de uma marcação temporal.', 'B) imprecisão do referente de pessoa.', 'C) organização interrogativa da frase.', 'D) utilização de um verbo de ação.', 'E) apagamento de uma preposição.']",2020,"Linguagens, códigos e suas tecnologias",E,12,"Question 7) The phrase, title of the film, reproduces a recurring linguistic variety in the speech of many Brazilians. This structure is characterized by
A) Use of a temporal marking.
B) inaccuracy of the person referent.
C) interrogative organization of the sentence.
D) use of an action verb.
E) deletion of a preposition.","Questão 7) A frase, título do filme, reproduz uma variedade linguística recorrente na fala de muitos brasileiros. Essa estrutura caracteriza-se pelo(a)
A) uso de uma marcação temporal.
B) imprecisão do referente de pessoa.
C) organização interrogativa da frase.
D) utilização de um verbo de ação.
E) apagamento de uma preposição."
6,"Questão 9) É possível afirmar que muitas expressões idiomáticas transmitidas pela cultura regional possuem autores anônimos, no entanto, algumas delas surgiram em consequência de contextos históricos bem curiosos. “Aquele é um cabra da peste” é um bom exemplo dessas construções.
Para compreender essa expressão tão repetida no Nordeste brasileiro, faz-se necessário voltar o olhar para o século 16. “Cabra” remete à forma com que os navegadores portugueses chamavam os índios. Já “peste” estaria ligada à questão da superação e resistência, ou mesmo uma associação com o diabo. Assim, com o passar dos anos, passou-se a utilizar tal expressão para denominar qualquer indivíduo que se mostre corajoso, ou mesmo insolente, já que a expressão pode ter caráter positivo ou negativo. Aliás, quem já não ficou de “nhe-nhe-nhém” por aí? O termo, que normalmente tem significado de conversa interminável, monótona ou resmungo, tem origem no tupi-guarani e “nhém” significa “falar”.
A leitura do texto permite ao leitor entrar em contato com","['A) registros do inventário do português brasileiro.', 'B) justificativas da variedade linguística do país.', 'C) influências da fala do nordestino no uso da língua.', 'D) explorações do falar de um grupo social específico.', 'E) representações da mudança linguística do português.']",2020,"Linguagens, códigos e suas tecnologias",A,14,"QUESTION 9) It is possible to state that many idioms transmitted by regional culture have anonymous authors, however, some of them emerged as a result of very curious historical contexts. “This is a plague goat” is a good example of these buildings.
To understand this expression so repeated in the northeast of Brazil, it is necessary to look back at the 16th century. “Goat” refers to the way Portuguese navigators called the Indians. Already “Plague” would be linked to the issue of overcoming and resistance, or even an association with the devil. Thus, over the years, such an expression has been used to call any individual who is brave, or even insolent, since the expression may be positive or negative. By the way, who has not already been ""nhe-gém"" out there? The term, which usually has meaning of endless, monotonous or grumbling conversation, originates in Tupi-Guarani and ""Nhém"" means ""speaking.""
Reading the text allows the reader to contact
A) Records of the inventory of Brazilian Portuguese.
B) justifications of the country's linguistic variety.
C) Influences of the northeastern speech on language use.
D) Explorations of speaking of a specific social group.
E) Representations of the linguistic change of Portuguese.","Questão 9) É possível afirmar que muitas expressões idiomáticas transmitidas pela cultura regional possuem autores anônimos, no entanto, algumas delas surgiram em consequência de contextos históricos bem curiosos. “Aquele é um cabra da peste” é um bom exemplo dessas construções.
Para compreender essa expressão tão repetida no Nordeste brasileiro, faz-se necessário voltar o olhar para o século 16. “Cabra” remete à forma com que os navegadores portugueses chamavam os índios. Já “peste” estaria ligada à questão da superação e resistência, ou mesmo uma associação com o diabo. Assim, com o passar dos anos, passou-se a utilizar tal expressão para denominar qualquer indivíduo que se mostre corajoso, ou mesmo insolente, já que a expressão pode ter caráter positivo ou negativo. Aliás, quem já não ficou de “nhe-nhe-nhém” por aí? O termo, que normalmente tem significado de conversa interminável, monótona ou resmungo, tem origem no tupi-guarani e “nhém” significa “falar”.
A leitura do texto permite ao leitor entrar em contato com
A) registros do inventário do português brasileiro.
B) justificativas da variedade linguística do país.
C) influências da fala do nordestino no uso da língua.
D) explorações do falar de um grupo social específico.
E) representações da mudança linguística do português."
7,"Questão 10) O ouro do século 21 Cério, gadolínio, lutécio, promécio e érbio; sumário, térbio e disprósio; hólmio, túlio e itérbio. Essa lista de nomes esquisitos e pouco conhecidos pode parecer a escalação de um time de futebol, que ainda teria no banco de reservas lantânio, neodímio, praseodímio, európio, escândio e ítrio. Mas esses 17 metais, chamados de terras-raras, fazem parte da vida de quase todos os humanos do planeta. Chamados por muitos de “ouro do século 21”, “elementos do futuro” ou “vitaminas da indústria”, eles estão nos materiais usados na fabricação de lâmpadas, telas de computadores, tablets e celulares, motores de carros elétricos, baterias e até turbinas eólicas. Apesar de tantas aplicações, o Brasil, dono da segunda maior reserva do mundo desses metais, parou de extraí-los e usá-los em 2002. Agora, volta a pensar em retomar sua exploração.
As aspas sinalizam expressões metafóricas empregadas intencionalmente pelo autor do texto para","['A) imprimir um tom irônico à reportagem.', 'B) incorporar citações de especialistas à reportagem.', 'C) atribuir maior valor aos metais, objeto da reportagem.', 'D) esclarecer termos científicos empregados na reportagem.', 'E) marcar a apropriação de termos de outra ciência pela reportagem.']",2020,"Linguagens, códigos e suas tecnologias",C,15,"QUESTION 10) The gold of the 21st century Cério, Gadolinio, Lutécio, Promécio and Erbium; Summary, Terbian and Disciplot; Holmio, Tulio and Iérbio. This list of weird and little known names may seem like the lineup of a soccer team, which would still have on the reserve bench Lantânio, Neodimio, Praseodymium, Europio, Scândio and Itrius. But these 17 metals, called rare lands, are part of the lives of almost every human human. Called by many 21st century gold, “elements of the future” or “industry vitamins”, they are in the materials used in the manufacture of lamps, computer screens, tablets and cell phones, electric car engines, batteries and even turbines Wind. Despite so many applications, Brazil, owner of the second largest reserve in the world of these metals, has stopped extracting them and use them in 2002. Now, he thinks of resuming his exploitation again.
Quotation marks signal metaphorical expressions employed intentionally by the author of the text to
A) Print an ironic tone to the report.
B) incorporate expert citations into the report.
C) assign greater value to metals, object of the report.
D) clarify scientific terms employed in the report.
E) mark the appropriation of terms of another science by the report.","Questão 10) O ouro do século 21 Cério, gadolínio, lutécio, promécio e érbio; sumário, térbio e disprósio; hólmio, túlio e itérbio. Essa lista de nomes esquisitos e pouco conhecidos pode parecer a escalação de um time de futebol, que ainda teria no banco de reservas lantânio, neodímio, praseodímio, európio, escândio e ítrio. Mas esses 17 metais, chamados de terras-raras, fazem parte da vida de quase todos os humanos do planeta. Chamados por muitos de “ouro do século 21”, “elementos do futuro” ou “vitaminas da indústria”, eles estão nos materiais usados na fabricação de lâmpadas, telas de computadores, tablets e celulares, motores de carros elétricos, baterias e até turbinas eólicas. Apesar de tantas aplicações, o Brasil, dono da segunda maior reserva do mundo desses metais, parou de extraí-los e usá-los em 2002. Agora, volta a pensar em retomar sua exploração.
As aspas sinalizam expressões metafóricas empregadas intencionalmente pelo autor do texto para
A) imprimir um tom irônico à reportagem.
B) incorporar citações de especialistas à reportagem.
C) atribuir maior valor aos metais, objeto da reportagem.
D) esclarecer termos científicos empregados na reportagem.
E) marcar a apropriação de termos de outra ciência pela reportagem."
8,"Questão 13) Deu vontade de jogar, mas não sabe como reunir os amigos...
Muitas vezes é difícil encontrar grupos para bater uma bola. Em função disso, estão sendo disponibilizados aplicativos que reúnem times e reservam espaços para os adeptos da paixão nacional. Num exemplo dessas iniciativas, é possível organizar uma partida de futebol, se inscrever para participar de um jogo, alugar campos e quadras, convidar jogadores. O aplicativo tem dois tipos de usuários: um que o usa como ferramenta de gestão do grupo, convidando amigos para jogar, vendo quem confirmou e avaliando os jogos. Outro usuário é o que busca partidas perto de onde ele está, caso de pessoas que estão de passagem numa cidade.
BENEDICTO, M.; MARLI, M. Bola na rede. Retratos: A inter-relação entre tecnologia e sociedade tem estimulado a criação de aplicativos. Nesse texto, isso é percebido pelo desenvolvimento de aplicativos para","['A) organização de eventos de competições esportivas.', 'B) agendamento de viagens para eventos de esporte amador.', 'C) mapeamento dos interesses dos praticantes acerca dos esportes.', 'D) identificação da escassez de espaços para a vivência dos esportes.', 'E) formação de grupos em comunidades virtuais para a prática esportiva.']",2020,"Linguagens, códigos e suas tecnologias",E,18,"Question 13) I wanted to play, but don't know how to gather friends ...
It is often difficult to find groups to hit a ball. As a result, applications are being made available that brings together teams and reserve spaces for supporters of national passion. In an example of these initiatives, you can organize a soccer match, sign up to participate in a game, rent fields and courts, invite players. The app has two types of users: one who uses it as a group management tool, inviting friends to play, seeing who confirmed and evaluating the games. Another user is the one who seeks matches near where he is, if people who are passing in a city.
BENEDICTO, M.; MARLI, M. Ball on the network. Portraits: The interrelationship between technology and society has stimulated application creation. In this text, this is perceived by the development of application for
A) Organization of sports competition events.
B) Travel scheduling for amateur sports events.
C) mapping the interests of practitioners about sports.
D) Identification of the scarcity of spaces for the experience of sports.
E) Formation of groups in virtual communities for sports.","Questão 13) Deu vontade de jogar, mas não sabe como reunir os amigos...
Muitas vezes é difícil encontrar grupos para bater uma bola. Em função disso, estão sendo disponibilizados aplicativos que reúnem times e reservam espaços para os adeptos da paixão nacional. Num exemplo dessas iniciativas, é possível organizar uma partida de futebol, se inscrever para participar de um jogo, alugar campos e quadras, convidar jogadores. O aplicativo tem dois tipos de usuários: um que o usa como ferramenta de gestão do grupo, convidando amigos para jogar, vendo quem confirmou e avaliando os jogos. Outro usuário é o que busca partidas perto de onde ele está, caso de pessoas que estão de passagem numa cidade.
BENEDICTO, M.; MARLI, M. Bola na rede. Retratos: A inter-relação entre tecnologia e sociedade tem estimulado a criação de aplicativos. Nesse texto, isso é percebido pelo desenvolvimento de aplicativos para
A) organização de eventos de competições esportivas.
B) agendamento de viagens para eventos de esporte amador.
C) mapeamento dos interesses dos praticantes acerca dos esportes.
D) identificação da escassez de espaços para a vivência dos esportes.
E) formação de grupos em comunidades virtuais para a prática esportiva."
9,"Questão 15) O suor para estar em competições nacionais e internacionais de alto nível é o mesmo para homens e mulheres, mas não raramente as remunerações são menores para elas. Se no tênis, um dos esportes mais equânimes em termos de gênero, todos os principais torneios oferecem prêmios idênticos nas disputas femininas e masculinas, no futebol a desigualdade atinge seu ápice. Neymar e Marta são dois expoentes dessa paixão nacional. Ela já foi eleita cinco vezes a melhor jogadora do mundo pela Fifa. Ele conquistou o terceiro lugar na última votação para melhor do mundo. Mas é na conta bancária que a diferença entre os dois se sobressai.
O esporte é uma manifestação cultural na qual se estabelecem relações sociais. Considerando o texto, o futebol é uma modalidade que","['A) apresenta proximidades com o tênis, no que tange às relações de gênero entre homens e mulheres.', 'B) se caracteriza por uma identidade masculina no Brasil, conferindo maior remuneração aos jogadores.', 'C) traz remunerações, aos jogadores e jogadoras, proporcionais aos seus esforços no treinamento esportivo.', 'D) resulta em melhor eficiência para as mulheres e, consequentemente, em remuneração mais alta às jogadoras.', 'E) possui jogadores e jogadoras com a mesma visibilidade, apesar de haver expoentes femininas de destaque, como Marta.']",2020,"Linguagens, códigos e suas tecnologias",B,20,"Question 15) The sweat to be in high -level national and international competitions is the same for men and women, but not rarely remuneration are lower for them. If in tennis, one of the most equitable sports in terms of gender, all major tournaments offer identical awards in women's and male disputes, in football inequality reaches its apex. Neymar and Marta are two exponents of this national passion. She has been elected five times the best player in the world by FIFA. He won third place in the last vote for the best in the world. But it is in the bank account that the difference between the two stands out.
Sport is a cultural manifestation in which social relations are established. Considering the text, football is a modality that
A) It has proximity to tennis, regarding gender relations between men and women.
B) is characterized by a male identity in Brazil, giving more remuneration to players.
C) brings remuneration to players and players proportional to their efforts on sports training.
D) results in better efficiency for women and, consequently, in higher remuneration to players.
E) has players and players with the same visibility, although there are prominent female exponents, such as Marta.","Questão 15) O suor para estar em competições nacionais e internacionais de alto nível é o mesmo para homens e mulheres, mas não raramente as remunerações são menores para elas. Se no tênis, um dos esportes mais equânimes em termos de gênero, todos os principais torneios oferecem prêmios idênticos nas disputas femininas e masculinas, no futebol a desigualdade atinge seu ápice. Neymar e Marta são dois expoentes dessa paixão nacional. Ela já foi eleita cinco vezes a melhor jogadora do mundo pela Fifa. Ele conquistou o terceiro lugar na última votação para melhor do mundo. Mas é na conta bancária que a diferença entre os dois se sobressai.
O esporte é uma manifestação cultural na qual se estabelecem relações sociais. Considerando o texto, o futebol é uma modalidade que
A) apresenta proximidades com o tênis, no que tange às relações de gênero entre homens e mulheres.
B) se caracteriza por uma identidade masculina no Brasil, conferindo maior remuneração aos jogadores.
C) traz remunerações, aos jogadores e jogadoras, proporcionais aos seus esforços no treinamento esportivo.
D) resulta em melhor eficiência para as mulheres e, consequentemente, em remuneração mais alta às jogadoras.
E) possui jogadores e jogadoras com a mesma visibilidade, apesar de haver expoentes femininas de destaque, como Marta."
