text_concat_portuguese,text_concat_english
"QUESTÃO 26) Tanto os Jogos Olímpicos quanto os Paralímpicos são mais que uma corrida por recordes, medalhas e busca da excelência. Por trás deles está a filosofia do barão Pierre de Coubertin, fundador do Movimento Olímpico. Como educador, ele viu nos Jogos a oportunidade para que os povos desenvolvessem valores, que poderiam ser aplicados não somente ao esporte, mas à educação e à sociedade. Existem atualmente sete valores associados aos Jogos. Os valores olímpicos são: a amizade, a excelência e o respeito, enquanto os valores paralímpicos são: a determinação, a coragem, a igualdade e a inspiração.
No contexto das aulas de Educação Física escolar, os valores olímpicos e paralímpicos podem ser identificados quando o colega
A) procura entender o próximo, assumindo atitudes positivas como simpatia, empatia, honestidade, compaixão, confiança e solidariedade, o que caracteriza o valor da igualdade.
B) faz com que todos possam ser iguais e receber o mesmo tratamento, assegurando imparcialidade, oportunidades e tratamentos iguais para todos, o que caracteriza o valor da amizade.
C) dá o melhor de si na vivência das diversas atividades relacionadas ao esporte ou aos jogos, participando e progredindo de acordo com seus objetivos, o que caracteriza o valor da coragem.
D) manifesta a habilidade de enfrentar a dor, o sofrimento, o medo, a incerteza e a intimidação nas atividades, agindo corretamente contra a vergonha, a desonra e o desânimo, o que caracteriza o valor da determinação.
E) inclui em suas ações o fair play (jogo limpo), a honestidade, o sentimento positivo de consideração por outra pessoa, o conhecimento dos seus limites, a valorização de sua própria saúde e o combate ao doping, o que caracteriza o valor do respeito.","Question 26) Both the Olympic and Paralympic Games are more than a race for records, medals and search for excellence. Behind them is the philosophy of Baron Pierre de Coubertin, founder of the Olympic movement. As an educator, he saw in games the opportunity for people to develop values, which could be applied not only to sport, but to education and society. There are currently seven values ​​associated with games. Olympic values ​​are: friendship, excellence and respect, while paralympic values ​​are: determination, courage, equality and inspiration.
In the context of school physical education classes, Olympic and Paralympic values ​​can be identified when the colleague
A) seeks to understand others, assuming positive attitudes such as sympathy, empathy, honesty, compassion, confidence and solidarity, which characterizes the value of equality.
B) Make everyone the same and receive the same treatment, ensuring impartiality, opportunities and equal treatments for all, which characterizes the value of friendship.
C) gives the best of themselves in the experience of various activities related to sports or games, participating and progressing according to their objectives, which characterizes the value of courage.
D) manifests the ability to face pain, suffering, fear, uncertainty and intimidation in activities, acting correctly against shame, dishonor and discouragement, which characterizes the value of determination.
E) Includes in its actions the Fair Play (clean game), honesty, the positive feeling of consideration by someone else, the knowledge of its limits, the valorization of their own health and the fight against doping, which characterizes the value of respect."
"Questão 145) Em um jogo on-line, cada jogador procura subir de nível e aumentar sua experiência, que são dois parâmetros importantes no jogo, dos quais dependem as forças de defesa e de ataque do participante. A força de defesa de cada jogador é diretamente proporcional ao seu nível e ao quadrado de sua experiência, enquanto sua força de ataque é diretamente proporcional à sua experiência e ao quadrado do seu nível. Nenhum jogador sabe o nível ou a experiência dos demais. Os jogadores iniciam o jogo no nível 1 com experiência 1 e possuem força de ataque 2 e de defesa 1. Nesse jogo, cada participante se movimenta em uma cidade em busca de tesouros para aumentar sua experiência. Quando dois deles se encontram, um deles pode desafiar o outro para um confronto, sendo o desafiante considerado o atacante. Compara-se então a força de ataque do desafiante com a força de defesa do desafiado e vence o confronto aquele cuja força for maior. O vencedor do desafio aumenta seu nível em uma unidade. Caso haja empate no confronto, ambos os jogadores aumentam seus níveis em uma unidade.
Durante um jogo, o jogador J1, de nível 4 e experiência 5, irá atacar o jogador J2, de nível 2 e experiência 6.
O jogador J1 venceu esse confronto porque a diferença entre sua força de ataque e a força de defesa de seu oponente era
A) 112.
B) 88.
C) 60.
D) 28.
E) 24.","Question 145) In an online game, each player seeks to rise level and increase their experience, which are two important parameters in the game, on which the participant's defense and attack forces depend. Each player's defense force is directly proportional to his level and square of his experience, while his attacking force is directly proportional to his experience and the square of his level. No player knows the level or experience of the others. Players start the game at Level 1 with experience 1 and have attacking force 2 and defense 1. In this game, each participant moves in a city in search of treasures to increase their experience. When two of them meet, one can challenge the other to a confrontation, being the challenger considered the attacker. It is then compared to the challenging force of attack with the challenge's defense force and the confrontation overcomes the one whose strength is greater. The challenge winner increases his level in a unit. If there is a draw in the confrontation, both players increase their levels in a unit.
During a game, level 4 player J1 and experience 5 will attack Level 2 player J2 and experience 6.
Player J1 won this confrontation because the difference between his attacking force and his opponent's defense force was
A) 112.
B) 88.
C) 60.
D) 28.
E) 24."
"Questão 4) A Minor Bird I have wished a bird would fly away, And not sing by my house all day; Have clapped my hands at him from the door When it seemed as if I could bear no more.
The fault must partly have been in me.
The bird was not to blame for his key.
And of course there must be something wrong In wanting to silence any song.
FROST, R. West-running Brook. New York: Henry Holt and Company, 1928.
No poema de Robert Frost, as palavras “fault” e “blame” revelam por parte do eu lírico uma
A) culpa por não poder cuidar do pássaro.
B) atitude errada por querer matar o pássaro.
C) necessidade de entender o silêncio do pássaro.
D) sensibilização com relação à natureza do pássaro.
E) irritação quanto à persistência do canto do pássaro.","Question 4) Minor Bird I Have Wished a Bird Would Fly Away, and Not Sing by My House All Day; Have clapped my hands at him from the door when it Seemed as if i could bear in the more.
The Fault Must Partly Have Been In Me.
The Bird was not to Blame for His Key.
And of Course There Must Be Something Wrong in Wanting to Silence Any Song.
FROST, R. West-Running Brook. New York: Henry Holt and Company, 1928.
In Robert Frost's poem, the words “Fault” and “Blame” reveal from the lyrical self a
A) Guilt for not being able to take care of the bird.
B) Wrong attitude for wanting to kill the bird.
C) Need to understand the silence of the bird.
D) sensitization regarding the nature of the bird.
E) irritation as to the persistence of the bird corner."
"Questão 132) Quando se considera a extrema velocidade com que a luz se espalha por todos os lados e que, quando vêm de diferentes lugares, mesmo totalmente opostos, [os raios luminosos] se atravessam uns aos outros sem se atrapalharem, compreende-se que, quando vemos um objeto luminoso, isso não poderia ocorrer pelo transporte de uma matéria que venha do objeto até nós, como uma flecha ou bala atravessa o ar; pois certamente isso repugna bastante a essas duas propriedades da luz, principalmente a última.
HUYGENS, C. In: MARTINS, R. A. Tratado sobre a luz, de Cristian Huygens. Caderno de História e Filosofia da Ciência, supl. 4, 1986.
texto contesta que concepção acerca do comportamento da luz?
A) O entendimento de que a luz precisa de um meio de propagação, difundido pelos defensores da existência do éter.
B) O modelo ondulatório para a luz, o qual considera a possibilidade de interferência entre feixes luminosos.
C) O modelo corpuscular defendido por Newton, que descreve a luz como um feixe de partículas.
D) A crença na velocidade infinita da luz, defendida pela maioria dos filósofos gregos.
E) A ideia defendida pelos gregos de que a luz era produzida pelos olhos.","Question 132) When considering the extreme speed with which light spreads everywhere and when they come from different places, even totally opposite, [the luminous rays] cross each other without disturbing themselves, it is understood that , when we see a luminous object, this could not occur by transporting a matter that comes from the object to us, such as an arrow or bullet crosses the air; For surely this greatly disguses these two properties of light, especially the last one.
HUYGES, C. In: MARTINS, R. A. Treaty on Light by Cristian Huygens. Notebook of History and Philosophy of Science, suppl. 4, 1986.
Text contests what conception about the behavior of light?
A) The understanding that light needs a means of propagation, spread by the defenders of the existence of the ether.
B) the wave model for light, which considers the possibility of interference between luminous beams.
C) The corpuscular model defended by Newton, which describes light as a particle beam.
D) the belief in the infinite speed of light, defended by most Greek philosophers.
E) The idea defended by the Greeks that light was produced by the eyes."
"Questão 75) TEXTO I Os segredos da natureza se revelam mais sob a tortura dos experimentos do que no seu curso natural.
BACON, F. Novum Organum, 1620. In: HADOT, P. O véu de Ísis: ensaio sobre a história da ideia de natureza. São Paulo: Loyola, 2006.
TEXTO II O ser humano, totalmente desintegrado do todo, não percebe mais as relações de equilíbrio da natureza. Age de forma totalmente desarmônica sobre o ambiente, causando grandes desequilíbrios ambientais.
GUIMARÃES, M. A dimensão ambiental na educação. Campinas: Papirus, 1995.
Os textos indicam uma relação da sociedade diante da natureza caracterizada pela
A) objetificação do espaço físico.
B) retomada do modelo criacionista.
C) recuperação do legado ancestral.
D) infalibilidade do método científico.
E) formação da cosmovisão holística.","QUESTION 75) TEXT I The secrets of nature reveal themselves more under the torture of experiments than in their natural course.
BACON, F. Novum Organum, 1620. In: HADOT, P. The veil of Isis: essay on the history of the idea of ​​nature. Sao Paulo: Loyola, 2006.
Text II The human being, totally disintegrated from the whole, no longer perceives the equilibrium relations of nature. It acts totally disharmoniously on the environment, causing great environmental imbalances.
GUIMARÃES, M. The environmental dimension in education. Campinas: Papirus, 1995.
Texts indicate a relationship of society in the face of nature characterized by
A) objectification of physical space.
B) resumption of the creationist model.
C) recovery of ancestral legacy.
D) infallibility of the scientific method.
E) Holistic worldview formation."
"Questão 63) TEXTO I A centralização econômica, o protecionismo e a expansão ultramarina engrandeceram o Estado, ANDERSON, P. In: DEYON, P. O mercantilismo.
TEXTO II As interferências da legislação e das práticas natural na esfera das relações econômicas.
SMITH, A. A riqueza das Nações. São Paulo: Entre os séculos XVI e XIX, diferentes concepções sobre as relações entre Estado e economia foram formuladas. Tais concepções, associadas a cada um dos textos, confrontam-se, respectivamente, na oposição entre as práticas de
A) valorização do pacto colonial — combate à livre- -iniciativa.
B) defesa dos monopólios régios — apoio à livre concorrência.
C) formação do sistema metropolitano — crítica à livre navegação.
D) abandono da acumulação metalista — estímulo ao livre-comércio.
E) eliminação das tarifas alfandegárias — incentivo ao livre-cambismo.","Question 63) Text I Economic centralization, protectionism and overseas expansion have enhanced the state, Anderson, P. In: Deyon, P. Mercantilism.
Text II The interference of legislation and natural practices in the sphere of economic relations.
Smith, A. The richness of the nations. São Paulo: Between the 16th and nineteenth centuries, different conceptions about the relations between state and economy were formulated. Such conceptions, associated with each of the texts, confront, respectively, in the opposition between the practices of
A) Appreciation of the colonial pact - combat to free -in -law.
B) Defense of royal monopolies - support for free competition.
C) formation of the metropolitan system - criticism of free navigation.
D) abandonment of metalist accumulation-stimulus to free trade.
E) elimination of customs tariffs-incentive to free-cambism."
"Questão 93) Em 1808, Dalton publicou o seu famoso livro intitulado Um novo sistema de filosofia química (do original A New System of Chemical Philosophy), no qual continha os cinco postulados que serviam como alicerce da primeira teoria atômica da matéria fundamentada no método científico. Esses postulados são numerados a seguir: 1. A matéria é constituída de átomos indivisíveis.
2. Todos os átomos de um dado elemento químico são idênticos em massa e em todas as outras propriedades.
3. Diferentes elementos químicos têm diferentes tipos de átomos; em particular, seus átomos têm diferentes massas.
4. Os átomos são indestrutíveis e nas reações químicas mantêm suas identidades.
5. Átomos de elementos combinam com átomos de outros elementos em proporções de números inteiros pequenos para formar compostos.
Após o modelo de Dalton, outros modelos baseados em outros dados experimentais evidenciaram, entre outras coisas, a natureza elétrica da matéria, a composição e organização do átomo e a quantização da energia no modelo atômico.
OXTOBY, D. W.; GILLIS, H. P.; BUTLER, L. J. Principles of Modern Com base no modelo atual que descreve o átomo, qual dos postulados de Dalton ainda é considerado correto?
A) 1
B) 2
C) 3
D) 4
E) 5","Question 93) In 1808, Dalton published his famous book entitled A New Chemical Philosophy System (from the original to New System of Chemical Philosophy), which contained the five postulates that served as the foundation of the first atomic theory of matter based on the scientific method . These postulates are numbered below: 1. Matter consists of indivisible atoms.
2. All atoms of a given chemical element are identical in mass and in all other properties.
3. Different chemical elements have different types of atoms; In particular, their atoms have different masses.
4. Atoms are indestructible and in chemical reactions maintain their identities.
5. Atoms of elements combine with atoms of other elements in proportions of small integers to form compounds.
After Dalton's model, other models based on other experimental data showed, among other things, the electrical nature of matter, composition and organization of the atom and the quantization of energy in the atomic model.
OXTOBY, D. W.; GILLIS, H. P.; Butler, L. J. Principles of Modern based on the current model that describes the atom, which of Dalton's postulates is still considered correct?
TO 1
B) 2
C) 3
D) 4
E) 5"
"QUESTÃO 104) Por que as formigas não morrem quando postas em forno de micro-ondas? As micro-ondas são ondas eletromagnéticas com frequência muito alta. Elas causam vibração nas moléculas de água, e é isso que aquece a comida. Se o prato estiver seco, sua temperatura não se altera. Da mesma maneira, se as formigas tiverem pouca água em seu corpo, podem sair incólumes. Já um ser humano não se sairia tão bem quanto esses insetos dentro de um forno de micro-ondas superdimensionado: a água que compõe 70% do seu corpo aqueceria. Micro-ondas de baixa intensidade, porém, estão por toda a parte, oriundas da telefonia celular, mas não há comprovação de que causem problemas para a população humana.
Os textos constroem-se com recursos linguísticos que materializam diferentes propósitos comunicativos. Ao responder à pergunta que dá título ao texto, o autor tem como objetivo principal
A) defender o ponto de vista de que as ondas eletromagnéticas são inofensivas.
B) divulgar resultados de recentes pesquisas científicas para a sociedade.
C) apresentar informações acerca das ondas eletromagnéticas e de seu uso.
D) alertar o leitor sobre os riscos de usar as micro-ondas em seu dia a dia.
E) apontar diferenças fisiológicas entre formigas e seres humanos.","Question 104) Why don't ants die when posting in a microwave oven? The microwaves are very high electromagnetic waves. They cause vibration in water molecules, and that is what warms the food. If the dish is dry, its temperature does not change. Similarly, if the ants have little water on your body, they can be unscathed. Already a human being would not do as well as these insects within a superdimened microwave oven: the water that makes 70% of his body would warm. Low-intensity microwaves, however, are everywhere, from cellular telephony, but there is no proof that they cause problems for the human population.
The texts are built with linguistic resources that materialize different communicative purposes. In answering the question that gives title to the text, the author has as main objective
A) Defend the point of view that electromagnetic waves are harmless.
B) Disseminate results from recent scientific research for society.
C) present information about electromagnetic waves and their use.
D) Alert the reader about the risks of using the microwaves in their daily lives.
E) point out physiological differences between ants and humans."
"Questão 100) Dois amigos se encontram em um posto de gasolina para calibrar os pneus de suas bicicletas. Uma das bicicletas é de corrida (bicicleta A) e a outra, de passeio (bicicleta B). Os pneus de ambas as bicicletas têm as mesmas características, exceto que a largura dos pneus de A é menor que a largura dos pneus de B. Ao calibrarem os pneus das bicicletas A e B, respectivamente com pressões de calibração pA e pB, os amigos observam que o pneu da bicicleta A deforma, sob mesmos esforços, muito menos que o pneu da bicicleta B. Pode-se considerar que as massas de ar comprimido no pneu da bicicleta A, mA, e no pneu da bicicleta B, mB, são diretamente proporcionais aos seus volumes.
Comparando as pressões e massas de ar comprimido nos pneus das bicicletas, temos:
A) pA < pB e mA < mB
B) pA > pB e mA < mB
C) pA > pB e mA = mB
D) pA < pB e mA = mB
E) pA > pB e mA > mB","Question 100) Two friends meet at a gas station to calibrate the tires of their bicycles. One of the bikes is running (bicycle A) and the other, walking (bicycle B). The tires of both bicycles have the same characteristics, except that the width of A tires is less than the width of B tires. When calibrating bicycles A and B tires, respectively with PA and PB calibration pressures, friends Note that the bicycle tire A deformation, at the same effort, much less than the Bicycle B tire. It can be considered that the compressed air masses on the bicycle A, MA, and the bicycle B, MB, are directly proportional to their volumes.
Comparing the pressures and masses of compressed air on bicycle tires, we have:
A) PA <pb and ma <mb
B) PA> PB and MA <MB
C) PA> PB and MA = MB
D) pa <pb and ma = mb
E) PA> PB and MA> MB"
"Questão 134) Uma cozinheira colocou sal a mais no feijão que estava cozinhando. Para solucionar o problema, ela acrescentou batatas cruas e sem tempero dentro da panela. Quando terminou de cozinhá-lo, as batatas estavam salgadas, porque absorveram parte do caldo com excesso de sal. Finalmente, ela adicionou água para completar o caldo do feijão.
O sal foi absorvido pelas batatas por
A) osmose, por envolver apenas o transporte do solvente.
B) fagocitose, porque o sal transportado é uma substância sólida.
C) exocitose, uma vez que o sal foi transportado da água para a batata.
D) pinocitose, porque o sal estava diluído na água quando foi transportado.
E) difusão, porque o transporte ocorreu a favor do gradiente de concentração.","Question 134) One cook put more salt in the beans that was cooking. To solve the problem, she added raw potatoes and without spice inside the pan. When it finished cooking it, the potatoes were salted because they absorbed part of the broth with excess salt. Finally, she added water to complete the bean stock.
Salt was absorbed by potatoes by
A) Osmosis, as it only involves the transport of the solvent.
B) phagocytosis, because salt transported is a solid substance.
C) Exocytosis, since salt was transported from water to potato.
D) Pinocytosis, because the salt was diluted in the water when it was transported.
E) diffusion, because transportation occurred in favor of the concentration gradient."
